region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
east of england,2021-01-30,265.2310621173072,3807.42877888517,0.154,0.009000000000000001
london,2021-01-30,291.95262465220725,3521.404305120984,0.098,0.006999999999999999
south east,2021-01-30,233.1928180430963,3526.1002043447816,0.146,0.009000000000000001
south west,2021-01-30,178.60520817480625,3899.89076742992,0.166,0.01
north east,2021-01-31,244.4997848267059,3402.509643471523,0.165,0.01
north west,2021-01-31,286.68353222009057,3500.1381246325527,0.16899999999999998,0.01
yorkshire and the humber,2021-01-31,201.76388482794826,3444.759890437286,0.155,0.009000000000000001
east midlands,2021-01-31,279.73948330082663,3458.9638224555865,0.149,0.005
west midlands,2021-01-31,326.80955646215216,3576.3511417269556,0.156,0.008
east of england,2021-01-31,260.8533063761932,3759.562108968594,0.16,0.009000000000000001
london,2021-01-31,282.16644109939386,3487.4025935941263,0.10300000000000001,0.006999999999999999
south east,2021-01-31,227.21490594010265,3526.1544503711243,0.152,0.01
south west,2021-01-31,176.0806272907905,3879.214094415058,0.171,0.01
north east,2021-02-01,238.02024089670894,3362.2465814787665,0.168,0.01
north west,2021-02-01,274.31497538003345,3477.1309742990106,0.174,0.01
yorkshire and the humber,2021-02-01,197.07550490489947,3408.9065044366066,0.159,0.009000000000000001
east midlands,2021-02-01,279.5533763116407,3466.8423516644584,0.155,0.005
west midlands,2021-02-01,317.94543916729873,3611.959278312555,0.161,0.008
east of england,2021-02-01,244.46478488381788,3770.883338101292,0.165,0.009000000000000001
london,2021-02-01,263.5826895853679,3467.6636058831737,0.106,0.006999999999999999
south east,2021-02-01,209.69343943132807,3544.923575485787,0.157,0.01
south west,2021-02-01,162.60434341695978,3812.6682757610365,0.17600000000000002,0.01
north east,2021-02-02,229.96762849815784,3300.822003182842,0.172,0.01
north west,2021-02-02,265.1883970949692,3434.3450304282846,0.18,0.01
yorkshire and the humber,2021-02-02,183.97348194165076,3395.8408255037693,0.163,0.009000000000000001
east midlands,2021-02-02,270.4548123958835,3464.443639359395,0.162,0.005
west midlands,2021-02-02,300.2340565116126,3591.2313994671754,0.168,0.008
east of england,2021-02-02,230.32126633560358,3827.3772336175725,0.171,0.009000000000000001
london,2021-02-02,250.10863663467256,3485.0032568774322,0.11,0.006999999999999999
south east,2021-02-02,197.58572635158043,3556.9010981023116,0.163,0.01
south west,2021-02-02,155.49284796902802,3835.9050871371537,0.182,0.01
north east,2021-02-03,225.9600493044603,3277.1136141210613,0.179,0.01
north west,2021-02-03,256.2661451894215,3464.8441480107604,0.187,0.01
yorkshire and the humber,2021-02-03,182.6105808012296,3243.722886217562,0.171,0.009000000000000001
east midlands,2021-02-03,260.2396065450106,3407.3087936793104,0.17,0.005
west midlands,2021-02-03,286.8199170311881,3560.7968066259104,0.174,0.008
east of england,2021-02-03,218.80760837912072,3795.7066563695867,0.17800000000000002,0.009000000000000001
london,2021-02-03,233.45768414242818,3453.8563117218264,0.114,0.006999999999999999
south east,2021-02-03,187.24643373061315,3535.7776954443643,0.17,0.01
south west,2021-02-03,146.6034786591133,3634.720880915164,0.19,0.01
north east,2021-02-04,221.428113954578,3260.259309100838,0.18600000000000003,0.01
north west,2021-02-04,249.50975290674708,3411.26977130157,0.195,0.01
yorkshire and the humber,2021-02-04,181.81101213218253,3259.1145830967184,0.17800000000000002,0.009000000000000001
east midlands,2021-02-04,249.5487939439959,3345.0663450737898,0.17800000000000002,0.005
west midlands,2021-02-04,271.97336315900964,3505.118016621737,0.182,0.008
east of england,2021-02-04,205.96298439145667,3764.308686621963,0.185,0.009000000000000001
london,2021-02-04,217.88421156462525,3237.1051202734175,0.11900000000000001,0.006999999999999999
south east,2021-02-04,176.18024435665026,3537.2314889503555,0.177,0.01
south west,2021-02-04,139.81200050633848,3694.8841324046666,0.19899999999999998,0.01
north east,2021-02-05,214.19948980146,3277.7128782995583,0.193,0.01
north west,2021-02-05,238.99375524097164,3432.7785281853257,0.203,0.01
yorkshire and the humber,2021-02-05,179.5940262770974,3283.3923954114207,0.185,0.009000000000000001
east midlands,2021-02-05,240.76040834354853,3304.4329857681914,0.187,0.006
west midlands,2021-02-05,258.40755627239935,3493.928332432036,0.19,0.008
east of england,2021-02-05,195.3473276126382,3745.931733950474,0.192,0.009000000000000001
london,2021-02-05,203.88808071724173,3170.8234434747374,0.124,0.006999999999999999
south east,2021-02-05,165.64566604084834,3565.6998035751385,0.185,0.01
south west,2021-02-05,131.18931227572122,3647.8949262324577,0.20800000000000002,0.01
north east,2021-02-06,207.34540575990255,3283.5931580510583,0.203,0.01
north west,2021-02-06,233.0546684763627,3474.3112702616845,0.21100000000000002,0.01
yorkshire and the humber,2021-02-06,177.63144863489097,3272.2529500903784,0.195,0.009000000000000001
east midlands,2021-02-06,233.79173552625267,3333.0107478854106,0.195,0.006
west midlands,2021-02-06,250.89159369919668,3588.804720968204,0.19899999999999998,0.008
east of england,2021-02-06,186.62388760104116,3775.405415460245,0.203,0.009000000000000001
london,2021-02-06,191.79142477057454,3194.8723508434555,0.128,0.006999999999999999
south east,2021-02-06,155.82713527277343,3601.925299966964,0.195,0.01
south west,2021-02-06,125.42900096289648,3630.9162308505206,0.22,0.011000000000000001
north east,2021-02-07,201.83966611996294,3268.948639689042,0.21,0.01
north west,2021-02-07,226.70692895272103,3503.598051325697,0.214,0.01
yorkshire and the humber,2021-02-07,175.50532285583395,3319.845457913885,0.19899999999999998,0.009000000000000001
east midlands,2021-02-07,228.2085258506744,3363.2014372422423,0.2,0.006
west midlands,2021-02-07,242.56673829300357,3660.4591444239395,0.20199999999999999,0.008
east of england,2021-02-07,177.7080187656589,3818.3170431643507,0.20800000000000002,0.009000000000000001
london,2021-02-07,181.98302513705102,3204.0920243381606,0.13,0.006999999999999999
south east,2021-02-07,150.8907468755645,3620.184512434003,0.2,0.01
south west,2021-02-07,123.04664998783934,3688.021539297413,0.226,0.011000000000000001
north east,2021-02-08,192.81324943135448,3260.8211192681783,0.215,0.01
north west,2021-02-08,217.93451639215192,3541.01702229446,0.218,0.01
yorkshire and the humber,2021-02-08,169.29049365551347,3313.176328333425,0.203,0.009000000000000001
east midlands,2021-02-08,219.29606892410308,3355.591729239972,0.20600000000000002,0.006
west midlands,2021-02-08,230.55130933629164,3677.715524861069,0.207,0.008
east of england,2021-02-08,163.16360683455866,3757.028462788756,0.212,0.009000000000000001
london,2021-02-08,165.49869325013265,3181.3427576909853,0.132,0.006999999999999999
south east,2021-02-08,138.59859730625084,3626.1190277159226,0.205,0.01
south west,2021-02-08,117.60635597017155,3766.888023814976,0.231,0.011000000000000001
north east,2021-02-09,186.25879747904543,3212.055996742999,0.221,0.011000000000000001
north west,2021-02-09,208.1132284167321,3565.7268924573054,0.22399999999999998,0.01
yorkshire and the humber,2021-02-09,174.46951798911388,3302.5638714533447,0.20800000000000002,0.009000000000000001
east midlands,2021-02-09,208.97747030146022,3357.9904415450355,0.212,0.006
west midlands,2021-02-09,218.21569363318764,3737.30396355803,0.212,0.008
east of england,2021-02-09,150.1586254937403,3644.1048146974567,0.218,0.009000000000000001
london,2021-02-09,151.22486139387243,3111.4176436558428,0.136,0.006999999999999999
south east,2021-02-09,127.42391587960203,3598.453554281015,0.212,0.01
south west,2021-02-09,110.05039205674404,3834.713911649625,0.239,0.011000000000000001
north east,2021-02-10,179.7417995378924,3215.65158181398,0.22899999999999998,0.011000000000000001
north west,2021-02-10,197.4610131646124,3532.666884251558,0.23,0.01
yorkshire and the humber,2021-02-10,165.4561984471286,3402.6735032210804,0.21600000000000003,0.01
east midlands,2021-02-10,199.81687072264106,3340.248241909309,0.21899999999999997,0.006
west midlands,2021-02-10,206.6889707630741,3702.1171253229463,0.218,0.008
east of england,2021-02-10,140.93807768736474,3646.97521131892,0.223,0.009000000000000001
london,2021-02-10,138.30621046093037,3098.7766937317774,0.139,0.006999999999999999
south east,2021-02-10,117.34500418508094,3577.6881753969315,0.218,0.01
south west,2021-02-10,104.91233659561334,4037.142629575003,0.24600000000000002,0.011000000000000001
north east,2021-02-11,173.5993417082999,3212.0934507541556,0.23800000000000002,0.011000000000000001
north west,2021-02-11,188.27994784501053,3560.673220003934,0.23600000000000002,0.01
yorkshire and the humber,2021-02-11,159.35040133804182,3347.575953117655,0.22399999999999998,0.01
east midlands,2021-02-11,193.1170191119471,3388.2018094562204,0.22699999999999998,0.006
west midlands,2021-02-11,195.34761916718753,3729.8385567868886,0.225,0.008
east of england,2021-02-11,131.82978002819723,3525.921445422696,0.231,0.009000000000000001
london,2021-02-11,127.00933341982794,3025.785760558637,0.14400000000000002,0.006999999999999999
south east,2021-02-11,108.30761619634458,3505.7145476450987,0.226,0.01
south west,2021-02-11,99.63205122552401,4042.814047194728,0.256,0.011000000000000001
north east,2021-02-12,168.99249833610554,3138.6461348771377,0.24600000000000002,0.011000000000000001
north west,2021-02-12,183.3624929779834,3519.9577834456404,0.243,0.011000000000000001
yorkshire and the humber,2021-02-12,156.02492255541418,3307.14321928516,0.233,0.01
east midlands,2021-02-12,189.35352221952024,3379.8890306059147,0.235,0.006
west midlands,2021-02-12,188.18554720841814,3673.0643910713734,0.235,0.008
east of england,2021-02-12,124.21280575336526,3486.5376794879853,0.239,0.01
london,2021-02-12,117.61193127944186,2975.0997724184695,0.15,0.006999999999999999
south east,2021-02-12,102.39479932496246,3435.0319753202275,0.23399999999999999,0.01
south west,2021-02-12,95.93407359259949,4115.475751933971,0.266,0.011000000000000001
north east,2021-02-13,165.8463613989972,3057.633108746598,0.255,0.011000000000000001
north west,2021-02-13,176.72869652301887,3435.4347711190385,0.252,0.011000000000000001
yorkshire and the humber,2021-02-13,152.33600346867428,3314.6119175346685,0.243,0.01
east midlands,2021-02-13,185.07306146824354,3305.011985290104,0.243,0.006
west midlands,2021-02-13,180.9897713816075,3574.952431203243,0.243,0.008
east of england,2021-02-13,119.2096563349493,3371.016242275586,0.248,0.01
london,2021-02-13,110.1473281608373,2899.165208551236,0.154,0.006999999999999999
south east,2021-02-13,99.32447423395118,3291.551235643111,0.243,0.01
south west,2021-02-13,93.24948406100526,4211.1075869700335,0.27699999999999997,0.011000000000000001
north east,2021-02-14,161.76387418298756,3133.552389359915,0.259,0.011000000000000001
north west,2021-02-14,171.37534537969017,3415.260946581456,0.254,0.011000000000000001
yorkshire and the humber,2021-02-14,149.35579297495335,3257.388241652185,0.245,0.01
east midlands,2021-02-14,181.02006481486075,3234.642864823463,0.247,0.006
west midlands,2021-02-14,174.83881546407613,3467.8920943701564,0.247,0.008
east of england,2021-02-14,114.96018647635883,3284.2308427484477,0.252,0.01
london,2021-02-14,104.99319743608655,2845.4578334344906,0.157,0.006999999999999999
south east,2021-02-14,95.18007782134939,3231.359844812968,0.24600000000000002,0.01
south west,2021-02-14,88.30699472469267,4170.2876030989055,0.28,0.011000000000000001
north east,2021-02-15,160.2657137367455,3152.0546708710044,0.263,0.011000000000000001
north west,2021-02-15,169.78159961946255,3400.345120876762,0.258,0.011000000000000001
yorkshire and the humber,2021-02-15,149.82826537029933,3262.3492018033185,0.248,0.01
east midlands,2021-02-15,181.76449277160455,3241.156609444971,0.252,0.006
west midlands,2021-02-15,171.48528059397003,3441.2491866835344,0.251,0.008
east of england,2021-02-15,113.1962555916609,3293.707962319871,0.255,0.01
london,2021-02-15,100.45000893086444,2814.077619431428,0.16,0.006999999999999999
south east,2021-02-15,92.05550670399516,3187.6917936068885,0.251,0.01
south west,2021-02-15,83.31116917252062,4107.813115588824,0.284,0.011000000000000001
north east,2021-02-16,161.5016961048952,3247.112951185064,0.26899999999999996,0.011000000000000001
north west,2021-02-16,166.73032568535154,3373.0607383320103,0.263,0.011000000000000001
yorkshire and the humber,2021-02-16,150.40976985687902,3282.156698377439,0.254,0.011000000000000001
east midlands,2021-02-16,180.52377951036493,3260.1602008962914,0.258,0.006
west midlands,2021-02-16,169.83379105994788,3347.4344699906655,0.257,0.009000000000000001
east of england,2021-02-16,110.48621632335227,3332.851192224849,0.261,0.01
london,2021-02-16,95.35141840788901,2803.280604206304,0.165,0.006999999999999999
south east,2021-02-16,88.82244353395502,3156.5762728965697,0.256,0.01
south west,2021-02-16,80.25322612990996,4077.3225788558175,0.29,0.011000000000000001
north east,2021-02-17,157.60647894466584,3096.060924192707,0.27899999999999997,0.011000000000000001
north west,2021-02-17,164.0059739584667,3286.2901358307286,0.271,0.011000000000000001
yorkshire and the humber,2021-02-17,151.60912286044965,3189.1523245550993,0.264,0.011000000000000001
east midlands,2021-02-17,180.234279749409,3248.890388773365,0.266,0.006
west midlands,2021-02-17,166.05895783932593,3331.1217978586924,0.265,0.009000000000000001
east of england,2021-02-17,104.60110146258735,3252.897015942087,0.26899999999999996,0.01
london,2021-02-17,90.49720477272506,2777.4988425421952,0.171,0.006999999999999999
south east,2021-02-17,85.6870232113322,3132.002822963211,0.264,0.011000000000000001
south west,2021-02-17,76.05744381563021,3972.5524721691627,0.299,0.011000000000000001
north east,2021-02-18,154.31052596293327,3121.1551116672617,0.28600000000000003,0.011000000000000001
