region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
lleida,2021-07-30,317.2109687198567,3447.1544715447153,65.74893206559184,52.73198291304947
metropolitana nord,2021-07-30,364.6970441563882,3630.6565050311374,66.2603120191417,52.89310544845199
metropolitana sud,2021-07-30,385.27506567768944,3297.1987489685994,66.17400192163325,52.04321267314944
terres de lebre,2021-07-30,212.64923621597472,2645.107653675834,67.70220058026095,56.660275878450605
alt pirineu-aran,2021-07-31,304.710376503114,3338.4366128097267,66.02999539218455,54.32465775822346
barcelona,2021-07-31,390.4457707318024,2987.276262822205,67.69834816401321,53.3786373253638
tarragona,2021-07-31,331.5794927294288,2964.6430339523586,65.17181771680546,52.78956050914557
catalunya central,2021-07-31,266.05485436248364,3575.800014801911,65.14909129552774,51.998732349196054
girona,2021-07-31,309.6014751326656,3194.186733321497,63.36003471992555,50.416882795882344
lleida,2021-07-31,314.1794129805705,3462.0366542648476,65.75196362133113,52.92352211657709
metropolitana nord,2021-07-31,345.5130632336236,3569.52959468931,66.44948319060317,53.03988052559072
metropolitana sud,2021-07-31,370.3922568539347,3275.0204456233964,66.25308508224576,52.45139559162448
terres de lebre,2021-07-31,199.64143719212518,2626.444289859007,67.70502836265744,56.866703993394296
alt pirineu-aran,2021-08-01,291.33284777858705,3332.491044487715,66.03148178426505,54.343980855270004
barcelona,2021-08-01,374.5019779160754,2973.9307177245964,67.77605939121875,53.65251625528729
tarragona,2021-08-01,322.2044773099956,2957.899601808556,65.17543614380945,52.82048161263423
catalunya central,2021-08-01,260.55157991418685,3578.266999899423,65.16047738059318,52.02586918526868
girona,2021-08-01,295.3282437078838,3147.769720557979,63.372683355903604,50.424657645520234
lleida,2021-08-01,305.9115336916081,3437.7842083505584,65.75334160121263,53.06490285241835
metropolitana nord,2021-08-01,332.4719843386209,3544.6055249865058,66.57677217688335,53.136656408355954
metropolitana sud,2021-08-01,356.74968209882627,3248.3189356748953,66.41789030348527,52.63422068433198
terres de lebre,2021-08-01,188.89586408546688,2581.1997715151824,67.70842170153323,56.87744956650096
alt pirineu-aran,2021-08-02,288.36006361758103,3302.763202877655,66.2039032656034,54.46437861379074
barcelona,2021-08-02,331.6899416516234,2828.4288455099622,67.98982431711849,53.97936400800969
tarragona,2021-08-02,298.1912799198683,2918.261378719373,65.52346303201156,53.37064699119571
catalunya central,2021-08-02,241.57477147178432,3539.554310676922,65.43545133492358,52.14181748485176
girona,2021-08-02,279.43041683637887,3171.3263545354644,63.97645264942506,50.50368260975012
lleida,2021-08-02,291.0293509714758,3426.209177346011,66.07496210555325,53.11313214827064
metropolitana nord,2021-08-02,300.700089424541,3452.915159473765,66.74983081843595,53.41107293336663
metropolitana sud,2021-08-02,318.3753809160077,3164.7855234043113,66.74998121410161,52.927937293765495
terres de lebre,2021-08-02,168.5358308307459,2513.3329939994455,67.86564640277801,56.958889699519844
alt pirineu-aran,2021-08-03,283.90088737607203,3432.0793138814156,66.71076296505493,54.840435810158006
barcelona,2021-08-03,301.5148374707476,2696.922080322466,68.63383544470486,54.19377849583896
tarragona,2021-08-03,272.3688690277451,2817.9322663359644,66.27428663533986,53.416041802700335
catalunya central,2021-08-03,229.80915023749475,3546.5757298006106,65.8747644503652,52.436906856131124
girona,2021-08-03,262.95237730532995,2997.8427693318154,64.58358717637188,50.542440815407666
lleida,2021-08-03,280.5567038721235,3373.5703458729504,66.40595287308805,53.19388176932617
metropolitana nord,2021-08-03,274.5172283226051,3336.602834194011,67.41235790762687,53.60638700685588
metropolitana sud,2021-08-03,293.0600149265818,3077.8232287086466,67.34456401759965,53.07982948970205
terres de lebre,2021-08-03,168.5358308307459,2550.0941651538033,68.68004773296686,57.0459853973317
alt pirineu-aran,2021-08-04,273.4961428125511,3295.33124247514,67.22951380115046,55.02623482022088
barcelona,2021-08-04,272.4617038954229,2592.106405330187,69.20509563618391,54.41031882271034
tarragona,2021-08-04,249.0135674565254,2692.1096909698863,67.37050554359463,53.55041702371221
catalunya central,2021-08-04,217.28445666550905,3527.788689442632,66.59246734565687,52.57353987691642
girona,2021-08-04,250.99999651872406,2923.22742131446,65.073286661027,50.67902287546432
lleida,2021-08-04,268.43048091497866,3352.349455697947,66.96596389692711,53.48022598870057
metropolitana nord,2021-08-04,253.4702361291258,3206.645210147671,68.09583128569933,53.80779363071693
metropolitana sud,2021-08-04,272.85149510216974,2977.4372240935163,68.00546286629766,53.23259714498118
terres de lebre,2021-08-04,169.10138731004372,2603.2564742077966,69.35588772572773,57.08840213327904
alt pirineu-aran,2021-08-05,242.2819091219882,3240.3347354965294,67.89839023737682,55.220952182766766
barcelona,2021-08-05,254.98258288262593,2491.0109486615775,69.76802962474807,54.67203322922627
tarragona,2021-08-05,237.66486458036937,2658.885952115053,67.8612958244997,53.9606150668011
catalunya central,2021-08-05,210.0732694573961,3411.271085606281,67.2285699646462,52.958769088297196
girona,2021-08-05,236.6107225620334,2847.7997755737433,65.54349100032144,51.032256342594685
lleida,2021-08-05,255.75306600523632,3177.346010748243,67.54774700289376,53.62463828028111
metropolitana nord,2021-08-05,235.4946949495275,3117.0192625295062,68.66032370072587,54.13457587793148
metropolitana sud,2021-08-05,257.38504671669915,2836.561224884348,68.54532946088484,53.44533376522661
terres de lebre,2021-08-05,174.19139562372396,2503.152977372085,69.88128969499539,57.24279905212734
alt pirineu-aran,2021-08-06,246.74108536349718,3201.688541403452,68.59253533897171,55.597009379134036
barcelona,2021-08-06,236.61769560228856,2377.8100196699165,70.04869942938937,55.10901125454619
tarragona,2021-08-06,228.61879707038992,2459.379045031324,68.20718455129038,54.05633890845215
catalunya central,2021-08-06,199.63602481407472,3250.9170542679794,67.72974747561005,53.268280833992776
girona,2021-08-06,220.82893822243727,2807.1848894056648,65.93942811919425,51.472637751188564
lleida,2021-08-06,242.24886316659777,3187.8186578475957,68.18685407193055,54.00937026319416
metropolitana nord,2021-08-06,216.15965905886713,2968.834339023742,69.23126112771597,54.47465096232085
metropolitana sud,2021-08-06,244.18020163287758,2758.718298340494,68.738587110758,53.85840466503101
terres de lebre,2021-08-06,167.9702743514481,2481.0962746794708,70.45193618260687,57.34120587952516
alt pirineu-aran,2021-08-07,237.8227328804792,3307.2223791191636,68.60145369145472,55.59998216329504
barcelona,2021-08-07,224.68937653274472,2339.485865827669,70.32210595063684,55.13292694376979
tarragona,2021-08-07,224.50694820221744,2375.661802075332,68.21968457184963,54.05765470008996
catalunya central,2021-08-07,199.82579289849872,3218.656479915895,67.7428414734353,53.27378410844107
girona,2021-08-07,214.33055643554476,2721.197373261248,65.9467387987045,51.473914219039564
lleida,2021-08-07,237.83932754581784,3134.904230398236,68.19181479950393,54.01019705112306
metropolitana nord,2021-08-07,208.40550404021687,2920.547100953056,69.38186293070807,54.53854721374076
metropolitana sud,2021-08-07,238.63562579657682,2722.6056004593243,69.25736972617821,53.87883204969107
terres de lebre,2021-08-07,166.2736049135547,2468.0884756556216,70.45985397331704,57.46562830497067
alt pirineu-aran,2021-08-08,231.87716455846723,3258.171440462565,68.60145369145472,55.605927731617044
barcelona,2021-08-08,219.55193218101044,2298.3272599292923,70.4330629384174,55.252682543141255
tarragona,2021-08-08,212.6648234618807,2337.174896669238,68.22577010817452,54.06374023641486
catalunya central,2021-08-08,196.22019929444227,3176.717733258185,67.74967312447457,53.28934509136385
girona,2021-08-08,212.00970579736884,2700.3097175176645,65.95080028732131,51.481805111209354
lleida,2021-08-08,235.91015571172662,3150.613201047265,68.19374397133802,54.01240181893344
metropolitana nord,2021-08-08,205.63616296212749,2869.4401701483157,69.47738002207416,54.64428569126781
metropolitana sud,2021-08-08,233.89355435763534,2688.827460825018,69.59369202361697,53.98695127849894
terres de lebre,2021-08-08,170.2325002686393,2474.875153407195,70.46098508627564,57.46902164384646
alt pirineu-aran,2021-08-09,179.8534417408624,3105.073056170757,68.79765744608113,55.67727455148119
barcelona,2021-08-09,200.4784318866408,2232.3081474552823,70.72820025876186,55.51545986917823
tarragona,2021-08-09,202.46743826881297,2291.122189345706,68.27428992481896,54.0951547617677
catalunya central,2021-08-09,192.6146056903858,3116.751018580193,68.28481912255033,53.39599475481015
girona,2021-08-09,207.94821718056102,2682.6712526675274,66.43191262461518,51.52114352952645
lleida,2021-08-09,223.23274080198428,3031.831335262505,68.50847457627118,54.03252032520325
metropolitana nord,2021-08-09,187.20745687884184,2753.581009772249,69.87490634591991,54.81190635397617
metropolitana sud,2021-08-09,215.65481805401438,2632.3603332290077,70.21213109420016,54.14876534698466
terres de lebre,2021-08-09,175.88806506161737,2433.0239739391577,70.56617859142503,57.60249297296074
alt pirineu-aran,2021-08-10,147.1528159697965,2947.5154956374395,69.1335820562748,55.80361787832394
barcelona,2021-08-10,184.2984347329031,2163.5136340096456,71.15596631489936,55.754557710329635
tarragona,2021-08-10,196.21742798919075,2280.9248041526384,69.12774527589683,54.29976036144796
catalunya central,2021-08-10,183.31596955360854,3060.0103613374094,68.64537848295598,53.48936065234676
girona,2021-08-10,199.59315488312777,2694.2755058584075,67.26718676929468,51.69845651828307
lleida,2021-08-10,214.41366956042444,2868.402921317349,68.95714482568555,54.120986633595145
metropolitana nord,2021-08-10,177.13712568578956,2678.2549324482184,70.57751335325916,55.032094145512254
metropolitana sud,2021-08-10,202.30406307976384,2512.0576285703237,70.78045011742098,54.38674437827431
terres de lebre,2021-08-10,173.06028266512837,2409.2706018086496,70.99487040273277,58.003472516782885
alt pirineu-aran,2021-08-11,129.31611100376057,2758.743701413559,69.58395885666721,56.0340086508019
barcelona,2021-08-11,174.0825971139373,2096.5497041835924,71.51505595976023,56.027314669647566
tarragona,2021-08-11,187.50030838866513,2273.194528280474,69.779884506389,54.67755703545565
catalunya central,2021-08-11,170.60150789719884,2990.9347786070643,68.95071533079424,53.98294743993366
girona,2021-08-11,195.53166626631995,2591.5778651191235,67.78694126971418,52.035327988414316
lleida,2021-08-11,214.68926553672316,2823.2051812043546,69.41270497450738,54.35441642552019
metropolitana nord,2021-08-11,163.94499182289107,2583.795225857388,71.06718320752134,55.33667131244613
metropolitana sud,2021-08-11,192.38219053059402,2437.3517646706923,71.22956076016135,54.57876179407884
terres de lebre,2021-08-11,156.65914476549202,2308.0359920143424,71.88788408354401,58.09226488403264
alt pirineu-aran,2021-08-12,111.47940603772463,2810.7674242311637,70.01055338377157,56.35506934019055
barcelona,2021-08-12,162.92194214292843,2056.631171059772,71.79342277210591,56.43346802885708
tarragona,2021-08-12,177.30292319559737,2211.6812692126136,69.9119570920347,55.59877565588101
catalunya central,2021-08-12,159.9744951694534,2916.1661533439983,69.43955791627052,54.372541317256186
girona,2021-08-12,195.41562373441113,2604.342543629091,68.28279100856047,52.6170492008731
lleida,2021-08-12,208.9017500344495,2766.4324100868125,69.74838087363925,54.86178861788618
metropolitana nord,2021-08-12,157.95314476302497,2550.5631329203156,71.47372247778485,55.75881959605887
metropolitana sud,2021-08-12,175.38368829561927,2401.9686162416674,71.60768624120801,54.950540194891836
terres de lebre,2021-08-12,144.7824587002381,2241.3003274572015,72.41950717408395,58.738695939870034
alt pirineu-aran,2021-08-13,89.1835248301797,2574.4310834311877,70.41931120590989,56.68950755830373
barcelona,2021-08-13,149.6354481298226,1985.0022055580064,72.07037235842355,56.76498081725519
tarragona,2021-08-13,165.1318505458068,2141.615364498955,70.44139875230057,55.95864466882347
catalunya central,2021-08-13,145.55212075322748,2836.463557885908,69.81662710002107,54.894593317506676
girona,2021-08-13,189.72953967088017,2493.0577555285563,68.7373296060472,53.45418002606315
lleida,2021-08-13,198.98029488769464,2682.3756373156953,70.23563455973543,55.348215516053465
metropolitana nord,2021-08-13,153.42149572615145,2476.143385403659,71.8870088699477,56.126789497853004
metropolitana sud,2021-08-13,162.39770804744114,2346.085128207373,72.01791189814905,55.28540339342632
terres de lebre,2021-08-13,137.43022446936664,2125.3612492011516,73.0715937947143,59.338185807925704
alt pirineu-aran,2021-08-14,87.69713274967671,2611.5908854437625,70.4252567742319,56.69991230286725
barcelona,2021-08-14,146.21048522866647,1951.9335982364983,72.30220691618112,56.890936780499445
tarragona,2021-08-14,158.71736631145774,2118.9179587466424,70.89995213807917,55.98989472022158
catalunya central,2021-08-14,140.80791864262684,2785.985247429117,69.84509231268467,54.915467806793316
girona,2021-08-14,186.13222118170754,2529.959280675553,69.0223300644152,53.49781201806086
lleida,2021-08-14,197.05112305360342,2672.729778145239,70.24362684304809,55.35069587984015
metropolitana nord,2021-08-14,151.20602286367995,2428.963883764209,72.06308861085824,56.2307153157653
metropolitana sud,2021-08-14,157.21790693721277,2323.031365519596,72.29346272622416,55.52600880274369
terres de lebre,2021-08-14,129.51243375919736,2075.026722543647,73.2548340940068,59.34497248567728
alt pirineu-aran,2021-08-15,81.75156442766473,2583.3494359142055,70.4252567742319,56.701398694947756
barcelona,2021-08-15,144.67515703159646,1945.0246213496835,72.36302953321889,56.929024730003675
tarragona,2021-08-15,153.28972580547008,2106.0889902779445,70.90143240367172,55.99285525140666
catalunya central,2021-08-15,138.72046971396256,2779.343364474276,69.84680022544448,54.91964270465065
girona,2021-08-15,185.31992345834595,2478.7845241037744,69.02465091505339,53.50465852744348
lleida,2021-08-15,195.1219512195122,2632.2171696293235,70.24417803500069,55.351247071792756
metropolitana nord,2021-08-15,148.43668178559057,2424.331531415405,72.10291677072675,56.302365722203874
metropolitana sud,2021-08-15,152.5487904434858,2313.5472226417132,72.38720983082477,55.54957325004797
terres de lebre,2021-08-15,123.2913124869215,2065.977818874882,73.25653076344469,59.345538042156576
alt pirineu-aran,2021-08-16,74.31960402514976,2522.4073606135826,70.65118837046836,56.76234077024838
barcelona,2021-08-16,133.16019555357144,1898.9647754375835,72.73688194920544,57.25669919790912
tarragona,2021-08-16,143.75023643130993,2076.6481523818293,71.51327551525578,56.04696718251181
catalunya central,2021-08-16,130.37067399930544,2739.3022986608066,70.23620433468258,55.101440529528865
girona,2021-08-16,171.5108621611993,2428.1899801915397,69.50460282702817,53.53297290522923
lleida,2021-08-16,186.30287997795233,2619.81535069588,70.66225713104589,55.387625740664184
metropolitana nord,2021-08-16,144.4589009643349,2436.5166321589986,72.56771290694208,56.51575604018465
metropolitana sud,2021-08-16,144.81556625075052,2179.456033337492,72.73403764037444,55.88326916945901
terres de lebre,2021-08-16,126.11909488341054,2103.870102987835,73.65242029895316,59.592686223609725
